service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,1,1,1,1,1,0,0,20170102,20170430
2,0,0,0,0,0,1,0,20170102,20170430
3,0,0,0,0,0,0,1,20170102,20170430
2201,0,0,0,0,0,0,0,20170102,20170430
2301,0,0,0,0,0,0,0,20170102,20170430
2401,0,0,0,0,0,0,0,20170102,20170430
9101,0,0,0,0,0,0,0,20170102,20170430
9201,0,0,0,0,0,0,0,20170102,20170430
201,0,0,0,0,0,0,0,20170102,20170430
2402,0,0,0,0,0,0,0,20170102,20170430
2403,0,0,0,0,0,0,0,20170102,20170430
8603,0,0,0,0,0,0,0,20170102,20170430
