service_id,date,exception_type
3,20170102,1
1,20170102,2
2201,20170104,1
9101,20170104,1
2201,20170105,1
9101,20170105,1
201,20170105,1
2201,20170106,1
2401,20170106,1
9201,20170106,1
201,20170106,1
2402,20170107,1
2403,20170108,1
8603,20170108,1
2201,20170109,1
2301,20170109,1
9101,20170109,1
2201,20170110,1
2301,20170110,1
9101,20170110,1
2201,20170111,1
2301,20170111,1
9101,20170111,1
2201,20170112,1
2301,20170112,1
9101,20170112,1
201,20170112,1
2201,20170113,1
2301,20170113,1
9201,20170113,1
201,20170113,1
2301,20170117,1
9101,20170117,1
2201,20170118,1
2301,20170118,1
9101,20170118,1
2201,20170119,1
2301,20170119,1
9101,20170119,1
201,20170119,1
2201,20170120,1
2301,20170120,1
9201,20170120,1
201,20170120,1
2201,20170123,1
2301,20170123,1
9101,20170123,1
2201,20170124,1
2301,20170124,1
9101,20170124,1
2201,20170125,1
2301,20170125,1
9101,20170125,1
2201,20170126,1
2301,20170126,1
9101,20170126,1
201,20170126,1
2201,20170127,1
2301,20170127,1
9201,20170127,1
201,20170127,1
8603,20170129,1
2201,20170130,1
2301,20170130,1
9101,20170130,1
2201,20170131,1
2301,20170131,1
9101,20170131,1
2201,20170201,1
2301,20170201,1
9101,20170201,1
2201,20170202,1
2301,20170202,1
9101,20170202,1
201,20170202,1
2201,20170203,1
2301,20170203,1
9201,20170203,1
201,20170203,1
8603,20170205,1
2201,20170206,1
2301,20170206,1
9101,20170206,1
2201,20170207,1
2301,20170207,1
9101,20170207,1
2201,20170208,1
2301,20170208,1
9101,20170208,1
2201,20170209,1
2301,20170209,1
9101,20170209,1
201,20170209,1
2201,20170210,1
2301,20170210,1
9201,20170210,1
201,20170210,1
8603,20170212,1
2201,20170213,1
2301,20170213,1
9101,20170213,1
2201,20170214,1
2301,20170214,1
9101,20170214,1
2201,20170215,1
2301,20170215,1
9101,20170215,1
2201,20170216,1
2301,20170216,1
9101,20170216,1
201,20170216,1
2201,20170217,1
2301,20170217,1
9201,20170217,1
201,20170217,1
8603,20170219,1
2301,20170220,1
9101,20170220,1
2201,20170221,1
2301,20170221,1
9101,20170221,1
2201,20170222,1
2301,20170222,1
9101,20170222,1
2201,20170223,1
2301,20170223,1
9101,20170223,1
201,20170223,1
2201,20170224,1
2301,20170224,1
9201,20170224,1
201,20170224,1
8603,20170226,1
2201,20170227,1
2301,20170227,1
9101,20170227,1
2201,20170228,1
2301,20170228,1
9101,20170228,1
2201,20170301,1
2301,20170301,1
9101,20170301,1
2201,20170302,1
2301,20170302,1
9101,20170302,1
201,20170302,1
2201,20170303,1
2301,20170303,1
9201,20170303,1
201,20170303,1
8603,20170305,1
2201,20170306,1
2301,20170306,1
9101,20170306,1
2201,20170307,1
2301,20170307,1
9101,20170307,1
2201,20170308,1
2301,20170308,1
9101,20170308,1
2201,20170309,1
2301,20170309,1
9101,20170309,1
201,20170309,1
2201,20170310,1
2301,20170310,1
9201,20170310,1
201,20170310,1
2402,20170311,1
2403,20170312,1
8603,20170312,1
2201,20170313,1
9101,20170313,1
2201,20170314,1
9101,20170314,1
2201,20170315,1
9101,20170315,1
2201,20170316,1
9101,20170316,1
201,20170316,1
2201,20170317,1
9201,20170317,1
201,20170317,1
2402,20170318,1
2403,20170319,1
8603,20170319,1
2201,20170320,1
2301,20170320,1
9101,20170320,1
2201,20170321,1
2301,20170321,1
9101,20170321,1
2201,20170322,1
2301,20170322,1
9101,20170322,1
2201,20170323,1
2301,20170323,1
9101,20170323,1
201,20170323,1
2201,20170324,1
2301,20170324,1
9201,20170324,1
201,20170324,1
8603,20170326,1
2201,20170327,1
2301,20170327,1
9101,20170327,1
2201,20170328,1
2301,20170328,1
9101,20170328,1
2201,20170329,1
2301,20170329,1
9101,20170329,1
2201,20170330,1
2301,20170330,1
9101,20170330,1
201,20170330,1
2201,20170331,1
2301,20170331,1
9201,20170331,1
201,20170331,1
8603,20170402,1
2201,20170403,1
2301,20170403,1
9101,20170403,1
2201,20170404,1
2301,20170404,1
9101,20170404,1
2201,20170405,1
2301,20170405,1
9101,20170405,1
2201,20170406,1
2301,20170406,1
9101,20170406,1
201,20170406,1
2201,20170407,1
2301,20170407,1
9201,20170407,1
201,20170407,1
8603,20170409,1
2201,20170410,1
2301,20170410,1
9101,20170410,1
2201,20170411,1
2301,20170411,1
9101,20170411,1
2201,20170412,1
2301,20170412,1
9101,20170412,1
2201,20170413,1
2301,20170413,1
9101,20170413,1
201,20170413,1
2301,20170414,1
9201,20170414,1
201,20170414,1
8603,20170416,1
2301,20170417,1
9101,20170417,1
2301,20170418,1
9101,20170418,1
2301,20170419,1
9101,20170419,1
2301,20170420,1
9101,20170420,1
201,20170420,1
2301,20170421,1
9201,20170421,1
201,20170421,1
8603,20170423,1
2201,20170424,1
2301,20170424,1
9101,20170424,1
2201,20170425,1
2301,20170425,1
9101,20170425,1
2201,20170426,1
2301,20170426,1
9101,20170426,1
2201,20170427,1
2301,20170427,1
9101,20170427,1
201,20170427,1
2201,20170428,1
2301,20170428,1
9201,20170428,1
201,20170428,1
2402,20170429,1
8603,20170430,1
